Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role
2023-2024,Mateusz Łęgowski,MF,Salernitana,it Serie A,pl POL,20,29,10,"1,145",12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.02,0.02,0.02,0.03,-0.02,0.04,1.34,0.55,0.08,14.3,0.0,0.0,20.5,0.0,0.03,-0.02,29.8,29.1,0.55,0.39,0.08,1.34,0.08,23.0,77.2,336.1,99.3,13.3,15.4,86.2,7.48,9.45,79.2,1.26,2.44,51.6,0.55,2.36,0.39,0.08,2.91,0.16,0.47,0.0,0.0,0.0,0.0,1.42,1.18,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.94,0.63,0.94,0.24,02.05,42.3,01.02,0.16,0.87,0.55,1.26,0.0,39.7,9.45,22.3,8.74,0.87,1.65,28.6,57.1,20.9,120.2,1.26,59.6,01.02,0.24,1.57,0.94,23.1,1.34,1.89,0.79,0.16,0.0,0.0,0.0,4.72,01.02,1.26,44.8,Deep Lying Playmaker
2023-2024,Milan Đurić,FW,Monza,it Serie A,ba BIH,33,17,13,"1,257",14.0,0.29,0.07,0.36,0.29,0.36,0.0,0.0,0.14,0.0,0.0,0.21,0.21,0.05,0.01,0.02,0.26,2.21,1.86,0.43,23.1,0.15,0.67,10.7,0.0,0.11,0.07,19.4,19.1,0.29,0.0,0.0,0.36,0.0,10.0,51.5,121.4,17.9,6.64,11.1,59.6,2.5,6.14,40.7,0.0,0.21,0.0,0.36,0.21,0.14,0.0,0.57,0.0,0.07,0.0,0.0,0.0,0.0,0.93,0.57,0.0,0.0,0.36,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.36,0.0,0.29,50.0,0.43,0.14,0.29,0.0,1.93,0.0,27.2,3.64,16.2,7.43,2.64,0.29,50.0,50.0,11.2,32.7,0.14,7.71,0.14,0.07,1.71,1.0,23.1,2.21,1.64,1.86,0.07,0.0,0.0,0.0,02.07,6.14,2.86,68.3,Target Forward
2023-2024,Milan Đurić,FW,Hellas Verona,it Serie A,ba BIH,33,20,13,"1,204",13.4,0.37,0.07,0.45,0.3,0.37,0.07,0.22,0.15,0.0,0.0,0.34,0.16,0.09,0.04,-0.01,0.25,2.46,1.64,0.97,59.1,0.18,0.31,12.5,0.0,0.1,0.13,24.9,24.6,0.3,0.0,0.0,0.22,0.0,13.5,54.2,157.9,29.3,9.7,15.9,61.0,2.39,5.15,46.4,0.37,0.9,41.7,1.19,1.34,0.22,0.0,1.12,0.22,0.07,0.0,0.0,0.0,0.0,2.46,1.87,0.0,0.0,0.37,0.15,0.07,0.3,0.07,0.0,0.0,0.0,0.15,0.07,0.07,0.0,0.0,0.0,0.07,0.22,0.0,0.0,0.0,0.0,0.07,0.97,0.0,31.4,03.06,16.9,11.4,3.43,0.22,66.7,33.3,13.7,39.5,0.22,11.3,0.45,0.07,1.64,0.6,26.3,2.46,1.94,1.42,0.45,0.0,0.0,0.0,1.87,10.1,3.21,75.8,Target Forward
2023-2024,Martin Ødegaard,MF,Arsenal,eng Premier League,no NOR,24,35,35,"3,091",34.3,0.23,0.29,0.52,0.17,0.47,0.06,0.06,0.06,0.0,0.0,0.22,0.17,0.28,0.33,0.01,0.45,5.89,2.19,0.61,28.0,0.08,0.29,20.2,0.12,0.08,0.01,58.5,55.0,3.0,1.6,1.14,1.11,0.47,49.3,84.3,751.6,230.3,26.4,28.9,91.4,18.5,21.7,85.3,2.65,04.08,65.0,2.97,4.66,3.79,0.38,10.0,0.09,2.24,0.76,0.61,0.03,0.0,6.41,5.19,0.5,0.23,0.29,0.17,0.03,0.67,0.52,0.06,0.0,0.06,0.03,0.0,1.43,0.5,0.52,0.61,0.29,1.69,29.3,0.67,0.03,0.64,0.44,0.15,0.0,67.8,7.11,27.0,34.2,4.81,2.36,45.7,46.9,45.6,238.8,2.65,102.4,2.42,01.08,1.55,1.69,53.3,5.89,0.87,01.05,0.09,0.03,0.0,0.0,4.61,0.09,0.26,25.0,Advanced Playmaker
2023-2024,Lovro Zvonarek,"FW,MF",Bayern Munich,de Bundesliga,hr CRO,18,5,1,163,1.8,0.56,0.0,0.56,0.56,0.55,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.11,0.17,-0.11,0.17,5.0,0.56,0.56,100.0,1.0,1.0,16.8,0.0,0.07,0.50,33.3,32.8,0.56,0.0,0.56,1.11,0.0,27.8,83.3,425.6,68.3,11.1,12.8,87.0,13.9,16.1,86.2,1.11,1.11,100.0,1.11,2.78,0.56,0.0,3.89,0.0,0.56,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,1.67,0.0,1.67,0.0,1.11,0.0,40.6,5.0,21.1,14.4,4.44,1.67,33.3,66.7,23.9,115.0,3.89,47.8,0.56,2.22,1.67,0.56,30.6,5.0,1.67,0.0,0.56,0.0,0.0,0.0,3.33,1.11,2.78,28.6,Inverted Winger
2023-2024,Szymon Żurkowski,MF,Empoli,it Serie A,pl POL,25,13,10,868,9.6,0.42,0.0,0.42,0.42,0.41,0.0,0.0,0.42,0.0,0.0,0.1,0.1,0.01,0.02,-0.01,0.11,3.85,1.67,0.63,37.5,0.25,0.67,18.1,0.0,0.06,0.31,25.5,24.9,0.52,0.1,0.0,0.73,0.1,20.1,78.8,300.6,67.6,11.1,13.4,82.9,7.71,9.48,81.3,0.73,1.25,58.3,0.42,1.98,0.52,0.1,02.08,0.0,0.63,0.0,0.0,0.0,0.0,1.77,01.04,0.0,0.1,0.1,0.42,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.56,0.63,0.52,0.83,0.21,1.56,33.3,0.52,0.1,0.42,0.63,1.15,0.0,36.6,5.83,19.7,11.6,1.46,1.56,26.7,60.0,21.6,121.0,1.77,58.4,1.56,0.21,1.98,1.98,23.0,3.85,1.98,1.77,0.21,0.0,0.0,0.0,3.85,0.73,1.77,29.2,Mezzala
2023-2024,Martín Zubimendi,MF,Real Sociedad,es La Liga,es ESP,24,31,29,"2,654",29.5,0.14,0.03,0.17,0.14,0.17,0.0,0.0,0.17,0.0,0.0,0.09,0.09,0.05,0.07,-0.02,0.14,0.92,0.75,0.37,50.0,0.18,0.36,14.8,0.0,0.12,0.04,52.3,49.9,2.1,2.0,0.14,0.44,0.24,44.8,85.7,751.4,212.5,20.6,22.9,89.7,20.6,22.9,89.7,2.92,4.27,68.3,0.54,4.61,0.51,0.03,5.15,0.14,0.24,0.0,0.0,0.0,0.0,1.86,1.59,0.0,0.1,0.14,0.0,0.03,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.66,0.92,0.61,0.98,0.07,1.42,54.8,1.12,0.31,0.81,1.25,1.83,0.0,60.8,13.5,38.8,09.05,01.08,0.61,66.7,27.8,31.9,179.8,1.15,90.5,1.39,0.17,0.88,0.54,40.2,0.92,1.22,0.68,0.0,0.0,0.0,0.0,5.73,1.49,0.95,61.1,Central Midfielder
2023-2024,Igor Zubeldia,DF,Real Sociedad,es La Liga,es ESP,26,30,29,"2,518",28.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.39,0.0,0.04,0.03,0.03,0.04,0.03,0.03,0.07,0.0,0.43,0.0,0.0,0.0,0.0,13.4,0.0,0.06,-0.03,62.4,60.6,1.5,1.46,0.11,0.25,0.29,52.7,84.5,1084.0,336.5,13.8,16.1,86.0,32.6,35.3,92.3,5.96,9.54,62.5,0.36,3.54,0.14,0.0,4.61,0.29,0.11,0.0,0.0,0.0,0.0,0.64,0.57,0.0,0.0,0.04,0.0,0.04,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.14,0.89,0.71,0.36,0.07,0.93,73.1,1.0,0.68,0.32,1.14,3.46,0.11,70.8,32.4,36.9,1.79,0.64,0.29,50.0,50.0,43.9,269.2,1.0,168.8,0.07,0.0,0.5,0.11,47.0,0.0,1.54,0.32,0.0,0.0,0.04,0.0,5.57,2.96,2.89,50.6,Ball Winning Midfielder
2023-2024,Kurt Zouma,DF,West Ham,eng Premier League,fr FRA,28,33,32,"2,838",31.5,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.06,0.06,0.01,0.0,-0.01,0.06,0.03,0.51,0.22,43.8,0.19,0.43,9.1,0.0,0.12,0.04,36.4,34.8,1.59,1.24,0.03,0.32,0.06,30.5,83.8,598.2,215.6,10.6,11.6,91.8,16.2,17.7,91.2,3.52,6.29,56.1,0.13,1.81,0.03,0.0,1.68,0.89,0.0,0.0,0.0,0.0,0.0,0.41,0.35,0.0,0.0,0.03,0.03,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.73,0.54,0.44,0.29,0.0,0.51,62.5,1.21,0.89,0.32,0.92,05.08,0.0,46.2,25.3,19.9,01.08,0.89,0.1,66.7,33.3,25.2,119.1,0.22,64.1,0.16,0.03,0.41,0.1,27.7,0.03,0.76,0.19,0.0,0.0,0.03,0.0,03.02,1.84,1.37,57.4,Central Defender
2023-2024,Nadir Zortea,DF,Atalanta,it Serie A,it ITA,24,5,0,149,1.7,0.59,0.0,0.59,0.59,0.6,0.0,0.0,0.59,0.0,0.0,0.06,0.06,0.18,0.12,-0.18,0.24,12.9,1.18,0.59,50.0,0.5,1.0,22.2,0.0,0.04,0.53,54.1,45.3,8.82,0.0,0.0,2.94,0.0,40.6,75.0,676.5,284.7,20.6,22.9,89.7,14.7,17.6,83.3,4.71,8.24,57.1,1.76,2.94,1.18,1.18,5.88,0.0,07.06,0.59,0.0,0.59,0.0,5.88,3.53,0.59,0.59,0.59,0.59,0.0,1.18,1.18,0.0,0.0,0.0,0.0,0.0,2.94,2.35,1.76,0.59,0.59,2.35,25.0,1.18,0.0,1.18,0.59,1.76,0.0,70.0,11.8,30.0,29.4,2.94,8.24,35.7,50.0,42.9,263.5,4.12,144.7,5.29,0.59,1.18,1.18,47.6,12.9,2.35,1.18,0.0,0.0,0.0,0.0,2.35,0.0,1.18,0.0,Full-Back
