Season,Squad,Comp,Poss
2023-2024,Ajax,nl Eredivisie,59.6
2023-2024,Alavés,es La Liga,41.8
2023-2024,Almere City,nl Eredivisie,44.0
2023-2024,Almería,es La Liga,46.4
2023-2024,Anderlecht,bl Pro League,53.0
2023-2024,Antwerp,bl Pro League,59.3
2023-2024,Arouca,pr Primiera Liga,53.7
2023-2024,Arsenal,eng Premier League,58.2
2023-2024,Aston Villa,eng Premier League,53.1
2023-2024,Atalanta,it Serie A,51.0
2023-2024,Athletic Club,es La Liga,49.8
2023-2024,Atlético Madrid,es La Liga,50.8
2023-2024,Augsburg,de Bundesliga,43.9
2023-2024,AZ Alkmaar,nl Eredivisie,54.5
2023-2024,Barcelona,es La Liga,64.3
2023-2024,Bayern Munich,de Bundesliga,61.3
2023-2024,Benfica,pr Primiera Liga,59.1
2023-2024,Betis,es La Liga,50.4
2023-2024,Birmingham City,en EFL Championship,44.1
2023-2024,Blackburn,en EFL Championship,51.6
2023-2024,Boavista,pr Primiera Liga,48.2
2023-2024,Bochum,de Bundesliga,46.6
2023-2024,Bologna,it Serie A,58.1
2023-2024,Bournemouth,eng Premier League,44.4
2023-2024,Braga,pr Primiera Liga,56.8
2023-2024,Brentford,eng Premier League,45.2
2023-2024,Brest,fr Ligue 1,53.6
2023-2024,Brighton,eng Premier League,59.8
2023-2024,Bristol City,en EFL Championship,47.8
2023-2024,Burnley,eng Premier League,47.4
2023-2024,Cádiz,es La Liga,43.3
2023-2024,Cagliari,it Serie A,42.1
2023-2024,Cardiff City,en EFL Championship,45.5
2023-2024,Casa Pia,pr Primiera Liga,43.8
2023-2024,Celta Vigo,es La Liga,46.1
2023-2024,Cercle Brugge,bl Pro League,45.1
2023-2024,Charleroi,bl Pro League,47.8
2023-2024,Chaves,pr Primiera Liga,43.8
2023-2024,Chelsea,eng Premier League,58.6
2023-2024,Clermont Foot,fr Ligue 1,48.9
2023-2024,Club Brugge,bl Pro League,56.8
2023-2024,Coventry City,en EFL Championship,51.3
2023-2024,Crystal Palace,eng Premier League,42.3
2023-2024,Darmstadt 98,de Bundesliga,45.7
2023-2024,Dortmund,de Bundesliga,57.8
2023-2024,Eint Frankfurt,de Bundesliga,52.1
2023-2024,Empoli,it Serie A,44.0
2023-2024,Estoril,pr Primiera Liga,48.7
2023-2024,Estrela,pr Primiera Liga,47.0
2023-2024,Eupen,bl Pro League,44.7
2023-2024,Everton,eng Premier League,40.8
2023-2024,Excelsior,nl Eredivisie,45.6
2023-2024,Famalicão,pr Primiera Liga,47.1
2023-2024,Farense,pr Primiera Liga,42.4
2023-2024,Feyenoord,nl Eredivisie,61.8
2023-2024,Fiorentina,it Serie A,57.4
2023-2024,Fortuna Sittard,nl Eredivisie,43.2
2023-2024,Freiburg,de Bundesliga,46.6
2023-2024,Frosinone,it Serie A,49.7
2023-2024,Fulham,eng Premier League,50.6
2023-2024,Genk,bl Pro League,53.9
2023-2024,Genoa,it Serie A,44.1
2023-2024,Gent,bl Pro League,54.3
2023-2024,Getafe,es La Liga,44.8
2023-2024,Gil Vicente FC,pr Primiera Liga,49.3
2023-2024,Girona,es La Liga,56.9
2023-2024,Gladbach,de Bundesliga,46.8
2023-2024,Go Ahead Eag,nl Eredivisie,44.9
2023-2024,Granada,es La Liga,45.6
2023-2024,Heerenveen,nl Eredivisie,49.7
2023-2024,Heidenheim,de Bundesliga,42.5
2023-2024,Hellas Verona,it Serie A,44.4
2023-2024,Heracles Almelo,nl Eredivisie,46.3
2023-2024,Hoffenheim,de Bundesliga,49.5
2023-2024,Huddersfield,en EFL Championship,40.0
2023-2024,Hull City,en EFL Championship,55.4
2023-2024,Inter,it Serie A,57.1
2023-2024,Ipswich Town,en EFL Championship,53.0
2023-2024,Juventus,it Serie A,48.5
2023-2024,Köln,de Bundesliga,46.5
2023-2024,Kortrijk,bl Pro League,43.0
2023-2024,Las Palmas,es La Liga,59.2
2023-2024,Lazio,it Serie A,53.3
2023-2024,Le Havre,fr Ligue 1,44.7
2023-2024,Lecce,it Serie A,44.9
2023-2024,Leeds United,en EFL Championship,58.2
2023-2024,Leicester City,en EFL Championship,61.6
2023-2024,Lens,fr Ligue 1,52.9
2023-2024,Leverkusen,de Bundesliga,61.8
2023-2024,Lille,fr Ligue 1,56.6
2023-2024,Liverpool,eng Premier League,61.3
2023-2024,Lorient,fr Ligue 1,46.3
2023-2024,Luton Town,eng Premier League,42.4
2023-2024,Lyon,fr Ligue 1,51.8
2023-2024,Mainz 05,de Bundesliga,46.1
2023-2024,Mallorca,es La Liga,45.0
2023-2024,Manchester City,eng Premier League,65.2
2023-2024,Manchester Utd,eng Premier League,50.6
2023-2024,Marseille,fr Ligue 1,53.7
2023-2024,Mechelen,bl Pro League,50.9
2023-2024,Metz,fr Ligue 1,35.6
2023-2024,Middlesbrough,en EFL Championship,52.9
2023-2024,Milan,it Serie A,56.9
2023-2024,Millwall,en EFL Championship,42.3
2023-2024,Monaco,fr Ligue 1,53.6
2023-2024,Montpellier,fr Ligue 1,44.6
2023-2024,Monza,it Serie A,53.5
2023-2024,Moreirense,pr Primiera Liga,46.2
2023-2024,Nantes,fr Ligue 1,44.8
2023-2024,Napoli,it Serie A,60.9
2023-2024,NEC Nijmegen,nl Eredivisie,48.4
2023-2024,Newcastle Utd,eng Premier League,52.2
2023-2024,Nice,fr Ligue 1,52.4
2023-2024,Norwich City,en EFL Championship,49.3
2023-2024,Nott'ham Forest,eng Premier League,40.6
2023-2024,OH Leuven,bl Pro League,44.0
2023-2024,Osasuna,es La Liga,47.5
2023-2024,Paris S-G,fr Ligue 1,65.2
2023-2024,Plymouth Argyle,en EFL Championship,45.0
2023-2024,Portimonense,pr Primiera Liga,44.7
2023-2024,Porto,pr Primiera Liga,63.1
2023-2024,Preston,en EFL Championship,44.6
2023-2024,PSV Eindhoven,nl Eredivisie,64.5
2023-2024,QPR,en EFL Championship,46.3
2023-2024,Rayo Vallecano,es La Liga,49.4
2023-2024,RB Leipzig,de Bundesliga,55.3
2023-2024,Real Madrid,es La Liga,59.2
2023-2024,Real Sociedad,es La Liga,55.3
2023-2024,Reims,fr Ligue 1,50.4
2023-2024,Rennes,fr Ligue 1,52.1
2023-2024,Rio Ave,pr Primiera Liga,48.7
2023-2024,RKC Waalwijk,nl Eredivisie,45.3
2023-2024,Roma,it Serie A,54.9
2023-2024,Rotherham Utd,en EFL Championship,37.2
2023-2024,RWD Molenbeek,bl Pro League,43.5
2023-2024,Salernitana,it Serie A,44.5
2023-2024,Sassuolo,it Serie A,43.8
2023-2024,Sevilla,es La Liga,50.3
2023-2024,Sheffield Utd,eng Premier League,35.8
2023-2024,Sheffield Weds,en EFL Championship,43.4
2023-2024,Sint-Truiden,bl Pro League,56.3
2023-2024,Southampton,en EFL Championship,65.5
2023-2024,Sparta R'dam,nl Eredivisie,47.0
2023-2024,Sporting CP,pr Primiera Liga,59.1
2023-2024,Standard Liège,bl Pro League,50.3
2023-2024,Stoke City,en EFL Championship,50.6
2023-2024,Strasbourg,fr Ligue 1,44.3
2023-2024,Stuttgart,de Bundesliga,59.9
2023-2024,Sunderland,en EFL Championship,55.4
2023-2024,Swansea City,en EFL Championship,54.8
2023-2024,Torino,it Serie A,51.6
2023-2024,Tottenham,eng Premier League,61.6
2023-2024,Toulouse,fr Ligue 1,48.4
2023-2024,Twente,nl Eredivisie,56.2
2023-2024,Udinese,it Serie A,39.3
2023-2024,Union Berlin,de Bundesliga,42.9
2023-2024,Union SG,bl Pro League,49.6
2023-2024,Utrecht,nl Eredivisie,48.4
2023-2024,Valencia,es La Liga,44.3
2023-2024,Villarreal,es La Liga,49.6
2023-2024,Vitesse,nl Eredivisie,50.3
2023-2024,Vitória,pr Primiera Liga,48.6
2023-2024,Vizela,pr Primiera Liga,49.6
2023-2024,Volendam,nl Eredivisie,41.4
2023-2024,Watford,en EFL Championship,51.9
2023-2024,Werder Bremen,de Bundesliga,46.8
2023-2024,West Brom,en EFL Championship,52.2
2023-2024,West Ham,eng Premier League,41.1
2023-2024,Westerlo,bl Pro League,47.5
2023-2024,Wolfsburg,de Bundesliga,48.0
2023-2024,Wolves,eng Premier League,48.9
