Season,Squad,Comp,Poss
2022-2023,Ajaccio,fr Ligue 1,43.2
2022-2023,Almeria,es La Liga,45.1
2022-2023,Angers,fr Ligue 1,46.9
2022-2023,Arsenal,eng Premier League,59.3
2022-2023,Aston Villa,eng Premier League,49.3
2022-2023,Atalanta,it Serie A,49.9
2022-2023,Athletic Club,es La Liga,51.6
2022-2023,Atletico Madrid,es La Liga,50.6
2022-2023,Augsburg,de Bundesliga,41.7
2022-2023,Auxerre,fr Ligue 1,43.3
2022-2023,Barcelona,es La Liga,64.3
2022-2023,Bayern Munich,de Bundesliga,64.2
2022-2023,Betis,es La Liga,50.6
2022-2023,Bochum,de Bundesliga,46.1
2022-2023,Bologna,it Serie A,54.7
2022-2023,Bournemouth,eng Premier League,40.4
2022-2023,Brentford,eng Premier League,43.8
2022-2023,Brest,fr Ligue 1,44.9
2022-2023,Brighton,eng Premier League,60.2
2022-2023,Cadiz,es La Liga,41.9
2022-2023,Celta Vigo,es La Liga,50.2
2022-2023,Chelsea,eng Premier League,58.7
2022-2023,Clermont Foot,fr Ligue 1,48.3
2022-2023,Cremonese,it Serie A,42.1
2022-2023,Crystal Palace,eng Premier League,46.3
2022-2023,Dortmund,de Bundesliga,58.2
2022-2023,Eint Frankfurt,de Bundesliga,52.9
2022-2023,Elche,es La Liga,45.5
2022-2023,Empoli,it Serie A,47.3
2022-2023,Espanyol,es La Liga,43.1
2022-2023,Everton,eng Premier League,42.8
2022-2023,Fiorentina,it Serie A,56.1
2022-2023,Freiburg,de Bundesliga,48.1
2022-2023,Fulham,eng Premier League,48.8
2022-2023,Getafe,es La Liga,39.9
2022-2023,Girona,es La Liga,51.3
2022-2023,Gladbach,de Bundesliga,53.7
2022-2023,Hellas Verona,it Serie A,41.2
2022-2023,Hertha BSC,de Bundesliga,42.0
2022-2023,Hoffenheim,de Bundesliga,48.3
2022-2023,Inter,it Serie A,55.7
2022-2023,Juventus,it Serie A,49.6
2022-2023,Koln,de Bundesliga,49.9
2022-2023,Lazio,it Serie A,52.1
2022-2023,Lecce,it Serie A,41.3
2022-2023,Leeds United,eng Premier League,47.0
2022-2023,Leicester City,eng Premier League,47.7
2022-2023,Lens,fr Ligue 1,55.6
2022-2023,Leverkusen,de Bundesliga,52.0
2022-2023,Lille,fr Ligue 1,60.5
2022-2023,Liverpool,eng Premier League,60.8
2022-2023,Lorient,fr Ligue 1,46.6
2022-2023,Lyon,fr Ligue 1,58.1
2022-2023,Mainz 05,de Bundesliga,44.8
2022-2023,Mallorca,es La Liga,41.1
2022-2023,Manchester City,eng Premier League,64.7
2022-2023,Manchester Utd,eng Premier League,53.7
2022-2023,Marseille,fr Ligue 1,56.7
2022-2023,Milan,it Serie A,55.6
2022-2023,Monaco,fr Ligue 1,48.2
2022-2023,Montpellier,fr Ligue 1,45.8
2022-2023,Monza,it Serie A,55.2
2022-2023,Nantes,fr Ligue 1,45.9
2022-2023,Napoli,it Serie A,61.8
2022-2023,Newcastle Utd,eng Premier League,52.3
2022-2023,Nice,fr Ligue 1,51.5
2022-2023,Nottingham Forest,eng Premier League,37.6
2022-2023,Osasuna,es La Liga,48.0
2022-2023,Paris S-G,fr Ligue 1,60.7
2022-2023,Rayo Vallecano,es La Liga,51.2
2022-2023,RB Leipzig,de Bundesliga,58.1
2022-2023,Real Madrid,es La Liga,60.9
2022-2023,Real Sociedad,es La Liga,54.6
2022-2023,Reims,fr Ligue 1,48.7
2022-2023,Rennes,fr Ligue 1,55.4
2022-2023,Roma,it Serie A,48.6
2022-2023,Salernitana,it Serie A,44.9
2022-2023,Sampdoria,it Serie A,46.1
2022-2023,Sassuolo,it Serie A,49.2
2022-2023,Schalke 04,de Bundesliga,46.0
2022-2023,Sevilla,es La Liga,52.6
2022-2023,Southampton,eng Premier League,44.5
2022-2023,Spezia,it Serie A,47.4
2022-2023,Strasbourg,fr Ligue 1,45.9
2022-2023,Stuttgart,de Bundesliga,50.2
2022-2023,Torino,it Serie A,53.2
2022-2023,Tottenham,eng Premier League,50.0
2022-2023,Toulouse,fr Ligue 1,51.3
2022-2023,Troyes,fr Ligue 1,42.6
2022-2023,Udinese,it Serie A,48.0
2022-2023,Union Berlin,de Bundesliga,43.8
2022-2023,Valencia,es La Liga,52.0
2022-2023,Valladoid,es La Liga,48.7
2022-2023,Villarreal,es La Liga,56.9
2022-2023,Werder Bremen,de Bundesliga,49.3
2022-2023,West Ham,eng Premier League,42.1
2022-2023,Wolfsburg,de Bundesliga,50.6
2022-2023,Wolves,eng Premier League,49.9
2022-2023,Ajax,nl Eredivisie,66.1
2022-2023,AZ Alkmaar,nl Eredivisie,53.5
2022-2023,Cambuur,nl Eredivisie,47.5
2022-2023,Emmen,nl Eredivisie,48.8
