Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role,Poss
2023-2024,Mateusz Łęgowski,MF,Salernitana,it Serie A,pl POL,20,29,10,"1,145",12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,0.0,0.0,0.00044943820224719103,0.00044943820224719103,0.00044943820224719103,0.0006741573033707865,-0.02,0.0008988764044943821,0.0301123595505618,0.012359550561797755,0.0017977528089887641,14.3,0.0,0.0,20.5,0.0,0.03,-0.02,0.6696629213483146,0.6539325842696629,0.012359550561797755,0.008764044943820225,0.0017977528089887641,59.63,0.08,0.5168539325842697,77.2,7.5528089887640455,2.231460674157303,0.298876404494382,0.3460674157303371,86.2,0.16808988764044944,0.21235955056179773,79.2,0.028314606741573035,0.054831460674157305,51.6,0.012359550561797755,0.05303370786516853,0.008764044943820225,0.0017977528089887641,0.06539325842696629,0.0035955056179775282,0.010561797752808988,0.0,0.0,0.0,0.0,0.03191011235955056,0.026516853932584267,0.0,0.0,0.0017977528089887641,0.0017977528089887641,0.0017977528089887641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.545,41.83,28.035,41.83,10.68,91.225,42.3,45.39,7.12,0.87,24.475,56.07,0.0,0.8921348314606742,0.21235955056179773,0.501123595505618,0.19640449438202248,0.01955056179775281,0.03707865168539325,28.6,57.1,0.46966292134831455,2.701123595505618,0.028314606741573035,1.3393258426966292,0.02292134831460674,0.005393258426966292,69.86500000000001,41.83,0.5191011235955056,0.0301123595505618,84.10499999999999,35.155,7.12,0.0,0.0,0.0,210.04,45.39,56.07,44.8,Deep Lying Playmaker,44.5
2023-2024,Milan Đurić,FW,Monza,it Serie A,ba BIH,33,17,13,"1,257",14.0,0.005420560747663551,0.001308411214953271,0.0067289719626168224,0.005420560747663551,0.0067289719626168224,0.0,0.0,7.490000000000001,0.0,0.0,0.003925233644859813,0.003925233644859813,0.0009345794392523365,0.00018691588785046728,0.02,0.00485981308411215,0.041308411214953274,0.034766355140186916,0.008037383177570093,23.1,0.002803738317757009,0.01252336448598131,10.7,0.0,0.11,0.07,0.3626168224299065,0.35700934579439253,0.005420560747663551,0.0,0.0,19.259999999999998,0.0,0.18691588785046728,51.5,2.269158878504673,0.3345794392523364,0.12411214953271027,0.20747663551401868,59.6,0.04672897196261682,0.1147663551401869,40.7,0.0,0.003925233644859813,0.0,0.0067289719626168224,0.003925233644859813,0.002616822429906542,0.0,0.010654205607476635,0.0,0.001308411214953271,0.0,0.0,0.0,0.0,0.017383177570093458,0.010654205607476635,0.0,0.0,0.0067289719626168224,0.0,0.0,0.001308411214953271,0.001308411214953271,0.0,0.0,0.0,0.0,0.0,19.259999999999998,19.259999999999998,0.0,19.259999999999998,0.0,15.514999999999999,50.0,23.005,7.490000000000001,0.29,0.0,103.255,0.0,0.508411214953271,0.06803738317757009,0.302803738317757,0.1388785046728972,0.049345794392523366,0.005420560747663551,50.0,50.0,0.20934579439252335,0.611214953271028,0.002616822429906542,0.1441121495327103,0.002616822429906542,0.001308411214953271,91.485,53.5,0.43177570093457945,0.041308411214953274,87.74,99.51,3.7450000000000006,0.0,0.0,0.0,110.74499999999999,328.49,153.01,68.3,Target Forward,53.5
2023-2024,Milan Đurić,FW,Hellas Verona,it Serie A,ba BIH,33,20,13,"1,204",13.4,0.008333333333333333,0.0015765765765765767,0.010135135135135136,0.006756756756756757,0.008333333333333333,0.0015765765765765767,0.0049549549549549555,6.659999999999999,0.0,0.0,0.007657657657657658,0.0036036036036036037,0.002027027027027027,0.0009009009009009009,-0.01,0.005630630630630631,0.05540540540540541,0.036936936936936934,0.021846846846846846,59.1,0.004054054054054054,0.006981981981981982,12.5,0.0,0.1,0.13,0.5608108108108107,0.5540540540540541,0.006756756756756757,0.0,0.0,9.767999999999999,0.0,0.30405405405405406,54.2,3.5563063063063067,0.6599099099099099,0.21846846846846846,0.3581081081081081,61.0,0.053828828828828834,0.115990990990991,46.4,0.008333333333333333,0.02027027027027027,41.7,0.026801801801801802,0.030180180180180184,0.0049549549549549555,0.0,0.025225225225225228,0.0049549549549549555,0.0015765765765765767,0.0,0.0,0.0,0.0,0.05540540540540541,0.042117117117117124,0.0,0.0,0.008333333333333333,0.0033783783783783786,0.0015765765765765767,0.006756756756756757,0.0015765765765765767,0.0,0.0,0.0,0.0033783783783783786,0.0015765765765765767,3.108,0.0,0.0,0.0,3.108,9.767999999999999,0.0,0.0,0.0,0.0,3.108,43.068,0.0,0.7072072072072072,0.06891891891891892,0.38063063063063063,0.2567567567567568,0.07725225225225225,0.0049549549549549555,66.7,33.3,0.30855855855855857,0.8896396396396397,0.0049549549549549555,0.2545045045045045,0.010135135135135136,0.0015765765765765767,72.81599999999999,26.639999999999997,0.5923423423423424,0.05540540540540541,86.136,63.047999999999995,19.98,0.0,0.0,0.0,83.028,448.44,142.524,75.8,Target Forward,44.4
2023-2024,Martin Ødegaard,MF,Arsenal,eng Premier League,no NOR,24,35,35,"3,091",34.3,0.003951890034364261,0.004982817869415807,0.008934707903780068,0.002920962199312715,0.008075601374570446,0.0010309278350515462,0.0010309278350515462,3.492,0.0,0.0,0.003780068728522337,0.002920962199312715,0.004810996563573883,0.005670103092783505,0.01,0.007731958762886597,0.10120274914089346,0.03762886597938144,0.010481099656357388,28.0,0.001374570446735395,0.004982817869415807,20.2,0.0020618556701030924,0.08,0.01,1.0051546391752577,0.9450171821305842,0.05154639175257732,0.027491408934707903,0.019587628865979378,64.602,0.47,0.8470790378006872,84.3,12.914089347079038,3.957044673539519,0.45360824742268036,0.49656357388316147,91.4,0.3178694158075601,0.3728522336769759,85.3,0.04553264604810996,0.07010309278350516,65.0,0.051030927835051546,0.08006872852233676,0.06512027491408934,0.0065292096219931265,0.1718213058419244,0.0015463917525773195,0.03848797250859107,0.013058419243986253,0.010481099656357388,0.0005154639175257731,0.0,0.11013745704467354,0.08917525773195877,0.008591065292096219,0.003951890034364261,0.004982817869415807,0.002920962199312715,0.0005154639175257731,0.011512027491408935,0.008934707903780068,0.0010309278350515462,0.0,0.0010309278350515462,0.0005154639175257731,0.0,83.226,29.1,30.264000000000003,35.502,16.878,98.358,29.3,38.99400000000001,1.746,0.64,25.608,8.73,0.0,1.1649484536082473,0.12216494845360824,0.46391752577319584,0.5876288659793815,0.08264604810996562,0.04054982817869415,45.7,46.9,0.7835051546391752,4.103092783505154,0.04553264604810996,1.7594501718213058,0.0415807560137457,0.018556701030927835,90.21000000000001,98.358,0.9158075601374569,0.10120274914089346,50.634,61.11000000000001,5.238,1.746,0.0,0.0,268.302,5.238,15.132000000000001,25.0,Advanced Playmaker,58.2
2023-2024,Lovro Zvonarek,"FW,MF",Bayern Munich,de Bundesliga,hr CRO,18,5,1,163,1.8,0.009135399673735728,0.0,0.009135399673735728,0.009135399673735728,0.008972267536704732,0.0,0.0,0.0,0.0,0.0,0.0009787928221859706,0.0009787928221859706,0.0017944535073409463,0.002773246329526917,-0.11,0.002773246329526917,0.08156606851549755,0.009135399673735728,0.009135399673735728,100.0,0.016313213703099513,0.016313213703099513,16.8,0.0,0.07,0.50,0.5432300163132137,0.5350734094616639,0.009135399673735728,0.0,0.009135399673735728,68.043,0.0,0.4535073409461664,83.3,6.942903752039152,1.1141924959216967,0.18107667210440456,0.20880913539967375,87.0,0.2267536704730832,0.26264274061990217,86.2,0.018107667210440458,0.018107667210440458,100.0,0.018107667210440458,0.04535073409461664,0.009135399673735728,0.0,0.0634584013050571,0.0,0.009135399673735728,0.0,0.0,0.0,0.0,0.027243066884176183,0.027243066884176183,0.0,0.0,0.0,0.0,0.0,0.009135399673735728,0.009135399673735728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.414,0.0,102.371,0.0,1.67,0.0,68.043,0.0,0.6623164763458402,0.08156606851549755,0.3442088091353997,0.23491027732463296,0.07243066884176183,0.027243066884176183,33.3,66.7,0.3898858075040783,1.8760195758564437,0.0634584013050571,0.7797716150081566,0.009135399673735728,0.036215334420880915,102.371,34.328,0.49918433931484507,0.08156606851549755,102.371,0.0,34.328,0.0,0.0,0.0,204.129,68.043,170.414,28.6,Inverted Winger,61.3
2023-2024,Szymon Żurkowski,MF,Empoli,it Serie A,pl POL,25,13,10,868,9.6,0.009545454545454544,0.0,0.009545454545454544,0.009545454545454544,0.009318181818181817,0.0,0.0,18.48,0.0,0.0,0.002272727272727273,0.002272727272727273,0.00022727272727272727,0.00045454545454545455,-0.01,0.0025,0.08750000000000001,0.037954545454545456,0.014318181818181818,37.5,0.005681818181818182,0.015227272727272728,18.1,0.0,0.06,0.31,0.5795454545454546,0.5659090909090909,0.011818181818181818,0.002272727272727273,0.0,32.12,0.1,0.45681818181818185,78.8,6.831818181818182,1.5363636363636362,0.25227272727272726,0.30454545454545456,82.9,0.17522727272727273,0.21545454545454545,81.3,0.01659090909090909,0.028409090909090908,58.3,0.009545454545454544,0.045,0.011818181818181818,0.002272727272727273,0.04727272727272727,0.0,0.014318181818181818,0.0,0.0,0.0,0.0,0.04022727272727273,0.023636363636363636,0.0,0.002272727272727273,0.002272727272727273,0.009545454545454544,0.002272727272727273,0.002272727272727273,0.002272727272727273,0.0,0.0,0.0,0.0,0.0,68.64,27.72,22.880000000000003,36.519999999999996,9.24,68.64,33.3,22.880000000000003,4.4,0.42,27.72,50.599999999999994,0.0,0.8318181818181819,0.1325,0.4477272727272727,0.2636363636363636,0.03318181818181818,0.035454545454545454,26.7,60.0,0.49090909090909096,2.75,0.04022727272727273,1.3272727272727272,0.035454545454545454,0.004772727272727272,87.12,87.12,0.5227272727272727,0.08750000000000001,87.12,77.88,9.24,0.0,0.0,0.0,169.4,32.12,77.88,29.2,Mezzala,44.0
2023-2024,Martín Zubimendi,MF,Real Sociedad,es La Liga,es ESP,24,31,29,"2,654",29.5,0.0025316455696202536,0.00054249547920434,0.0030741410488245935,0.0025316455696202536,0.0030741410488245935,0.0,0.0,9.401,0.0,0.0,0.0016274864376130199,0.0016274864376130199,0.0009041591320072334,0.0012658227848101268,-0.02,0.0025316455696202536,0.016636528028933093,0.0135623869801085,0.006690777576853526,50.0,0.0032549728752260397,0.0065099457504520794,14.8,0.0,0.12,0.04,0.945750452079566,0.9023508137432188,0.0379746835443038,0.03616636528028933,0.0025316455696202536,24.331999999999997,0.24,0.810126582278481,85.7,13.587703435804702,3.8426763110307416,0.37251356238698013,0.4141048824593128,89.7,0.37251356238698013,0.4141048824593128,89.7,0.05280289330922242,0.07721518987341772,68.3,0.009764918625678121,0.08336347197106692,0.00922242314647378,0.00054249547920434,0.09312839059674503,0.0025316455696202536,0.00433996383363472,0.0,0.0,0.0,0.0,0.03363471971066908,0.02875226039783002,0.0,0.0018083182640144667,0.0025316455696202536,0.0,0.00054249547920434,0.0025316455696202536,0.0025316455696202536,0.0,0.0,0.0,0.0,0.0,91.79799999999999,50.876,33.733,54.193999999999996,3.871,78.526,54.8,61.936,17.143,0.81,69.125,101.199,0.0,1.0994575045207957,0.244122965641953,0.701627486437613,0.16365280289330925,0.019529837251356243,0.011030741410488246,66.7,27.8,0.5768535262206148,3.251356238698011,0.020795660036166366,1.6365280289330923,0.025135623869801085,0.0030741410488245935,48.663999999999994,29.862000000000002,0.7269439421338156,0.016636528028933093,67.466,37.604,0.0,0.0,0.0,0.0,316.869,82.39699999999999,52.535,61.1,Central Midfielder,55.3
2023-2024,Igor Zubeldia,DF,Real Sociedad,es La Liga,es ESP,26,30,29,"2,518",28.0,0.0,0.0012658227848101268,0.0012658227848101268,0.0,0.0012658227848101268,0.0,0.0,21.567,0.0,2.2119999999999997,0.00054249547920434,0.00054249547920434,0.0007233273056057867,0.00054249547920434,0.03,0.0012658227848101268,0.0,0.007775768535262207,0.0,0.0,0.0,0.0,13.4,0.0,0.06,-0.03,1.1283905967450272,1.0958408679927667,0.027124773960217,0.02640144665461121,0.0019891500904159133,13.825,0.29,0.952983725135624,84.5,19.60216998191682,6.08499095840868,0.2495479204339964,0.29113924050632917,86.0,0.5895117540687161,0.6383363471971066,92.3,0.10777576853526222,0.1725135623869801,62.5,0.0065099457504520794,0.06401446654611212,0.0025316455696202536,0.0,0.08336347197106692,0.005244122965641953,0.0019891500904159133,0.0,0.0,0.0,0.0,0.011573236889692588,0.01030741410488246,0.0,0.0,0.0007233273056057867,0.0,0.0007233273056057867,0.0019891500904159133,0.0019891500904159133,0.0,0.0,0.0,0.0,0.0,63.041999999999994,49.217,39.263,19.907999999999998,3.871,51.429,73.1,55.3,37.604,0.32,63.041999999999994,191.338,6.082999999999999,1.2802893309222423,0.5858951175406871,0.6672694394213382,0.03236889692585895,0.011573236889692588,0.005244122965641953,50.0,50.0,0.7938517179023509,4.867992766726944,0.018083182640144666,3.05244122965642,0.0012658227848101268,0.0,27.65,6.082999999999999,0.8499095840867993,0.0,85.16199999999999,17.695999999999998,0.0,0.0,2.2119999999999997,0.0,308.021,163.688,159.817,50.6,Ball Winning Midfielder,55.3
2023-2024,Kurt Zouma,DF,West Ham,eng Premier League,fr FRA,28,33,32,"2,838",31.5,0.0024330900243309003,0.0,0.0024330900243309003,0.0024330900243309003,0.0024330900243309003,0.0,0.0,4.11,0.0,0.0,0.00145985401459854,0.00145985401459854,0.00024330900243309,0.0,-0.01,0.00145985401459854,0.00072992700729927,0.012408759124087591,0.00535279805352798,43.8,0.004622871046228711,0.01046228710462287,9.1,0.0,0.12,0.04,0.8856447688564476,0.8467153284671531,0.03868613138686131,0.03017031630170316,0.00072992700729927,13.152000000000001,0.06,0.7420924574209246,83.8,14.554744525547445,5.24574209245742,0.2579075425790754,0.2822384428223844,91.8,0.3941605839416058,0.4306569343065693,91.2,0.08564476885644769,0.15304136253041362,56.1,0.0031630170316301704,0.04403892944038929,0.00072992700729927,0.0,0.040875912408759124,0.02165450121654501,0.0,0.0,0.0,0.0,0.0,0.00997566909975669,0.00851581508515815,0.0,0.0,0.00072992700729927,0.00072992700729927,0.0,0.00145985401459854,0.00145985401459854,0.0,0.0,0.0,0.0,0.0,30.003,22.194000000000003,18.084,11.918999999999999,0.0,20.961000000000002,62.5,49.731,36.579,0.32,37.812000000000005,208.788,0.0,1.1240875912408759,0.6155717761557178,0.4841849148418491,0.026277372262773723,0.02165450121654501,0.0024330900243309003,66.7,33.3,0.6131386861313868,2.897810218978102,0.00535279805352798,1.5596107055961068,0.00389294403892944,0.00072992700729927,16.851,4.11,0.6739659367396593,0.00072992700729927,31.236,7.809,0.0,0.0,1.233,0.0,124.122,75.62400000000001,56.30700000000001,57.4,Central Defender,41.1
2023-2024,Nadir Zortea,DF,Atalanta,it Serie A,it ITA,24,5,0,149,1.7,0.011568627450980392,0.0,0.011568627450980392,0.011568627450980392,0.011764705882352941,0.0,0.0,30.09,0.0,0.0,0.001176470588235294,0.001176470588235294,0.003529411764705882,0.002352941176470588,-0.18,0.004705882352941176,0.2529411764705882,0.023137254901960783,0.011568627450980392,50.0,0.00980392156862745,0.0196078431372549,22.2,0.0,0.04,0.53,1.0607843137254902,0.888235294117647,0.17294117647058824,0.0,0.0,149.94,0.0,0.7960784313725491,75.0,13.264705882352942,5.58235294117647,0.403921568627451,0.4490196078431372,89.7,0.28823529411764703,0.3450980392156863,83.3,0.09235294117647058,0.16156862745098038,57.1,0.034509803921568626,0.05764705882352941,0.023137254901960783,0.023137254901960783,0.11529411764705882,0.0,0.1384313725490196,0.011568627450980392,0.0,0.011568627450980392,0.0,0.11529411764705882,0.0692156862745098,0.011568627450980392,0.011568627450980392,0.011568627450980392,0.011568627450980392,0.0,0.023137254901960783,0.023137254901960783,0.0,0.0,0.0,0.0,0.0,149.94,119.85000000000001,89.76,30.09,30.09,119.85000000000001,25.0,60.18,0.0,1.18,30.09,89.76,0.0,1.3725490196078431,0.23137254901960785,0.5882352941176471,0.5764705882352941,0.05764705882352941,0.16156862745098038,35.7,50.0,0.8411764705882353,5.166666666666667,0.08078431372549019,2.837254901960784,0.10372549019607843,0.011568627450980392,60.18,60.18,0.9333333333333333,0.2529411764705882,119.85000000000001,60.18,0.0,0.0,0.0,0.0,119.85000000000001,0.0,60.18,0.0,Full-Back,51.0
