Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role,Poss
2022-2023,Filip Đuričić,"MF,FW",Sampdoria,it Serie A,rs SRB,30,32,27,"2,171",24.1,0.0026030368763557484,0.0,0.0026030368763557484,0.0026030368763557484,0.0026030368763557484,0.0,0.0,17.057,0.0,0.0,0.002386117136659436,0.002386117136659436,0.0017353579175704988,0.0015184381778741867,-0.08,0.004121475054229935,0.07462039045553145,0.023427331887201735,0.010845986984815618,46.2,0.0026030368763557484,0.005422993492407809,18.3,0.0008676789587852494,0.1,0.01,0.6735357917570499,0.6295010845986985,0.047722342733188726,0.015401301518438177,0.0026030368763557484,68.68900000000001,0.08,0.527114967462039,77.3,8.63991323210412,1.9522776572668112,0.27114967462039047,0.3123644251626898,87.0,0.19002169197396962,0.227765726681128,83.1,0.04685466377440347,0.07744034707158351,60.5,0.03058568329718004,0.04490238611713666,0.016268980477223426,0.0036876355748373104,0.06941431670281996,0.0026030368763557484,0.0368763557483731,0.019739696312364424,0.00455531453362256,0.011713665943600867,0.0,0.06203904555314533,0.04056399132321041,0.008026030368763558,0.0036876355748373104,0.0026030368763557484,0.005422993492407809,0.0017353579175704988,0.0026030368763557484,0.0026030368763557484,0.0,0.0,0.0,0.0,0.0,82.058,41.951,34.575,38.263,9.681,61.313,43.8,36.419000000000004,11.525,0.54,13.369,15.213000000000001,0.0,0.8937093275488069,0.13058568329718004,0.43817787418655096,0.34273318872017355,0.03058568329718004,0.06290672451193058,44.3,42.9,0.5314533622559653,3.0086767895878523,0.03514099783080261,1.438177874186551,0.03774403470715835,0.0026030368763557484,112.94500000000001,89.895,0.6203904555314533,0.07462039045553145,72.83800000000001,91.739,0.0,0.0,0.0,0.0,210.21599999999998,26.738,55.32,32.6,Inverted Winger,46.1
2022-2023,Milan Đurić,FW,Hellas Verona,it Serie A,ba BIH,32,28,14,"1,366",15.2,0.0016990291262135922,0.0016990291262135922,0.0031553398058252425,0.0016990291262135922,0.0031553398058252425,0.0,0.0,8.24,0.0,0.0,0.0021844660194174754,0.0021844660194174754,0.0021844660194174754,0.0014563106796116503,-0.02,0.004368932038834951,0.11504854368932038,0.025485436893203883,0.008009708737864078,31.3,0.0014563106796116503,0.0048543689320388345,10.7,0.0,0.09,-0.03,0.8349514563106796,0.820388349514563,0.01116504854368932,0.0,0.0031553398058252425,8.24,0.13,0.4271844660194175,51.2,4.980582524271844,1.1820388349514563,0.2961165048543689,0.5364077669902912,55.4,0.08616504854368931,0.19004854368932037,45.4,0.008009708737864078,0.02087378640776699,38.5,0.03349514563106796,0.04320388349514563,0.008009708737864078,0.0,0.04635922330097087,0.0,0.0,0.0,0.0,0.0,0.0,0.05752427184466019,0.04951456310679611,0.0,0.0,0.0048543689320388345,0.0031553398058252425,0.0,0.0031553398058252425,0.0031553398058252425,0.0,0.0,0.0,0.0,0.0,5.356000000000001,2.8840000000000003,2.8840000000000003,0.0,2.8840000000000003,8.24,33.3,18.952,10.712000000000002,0.2,2.8840000000000003,65.096,0.0,1.029126213592233,0.09902912621359222,0.5024271844660194,0.4320388349514563,0.09587378640776699,0.009466019417475728,33.3,50.0,0.4174757281553398,1.3883495145631068,0.0031553398058252425,0.337378640776699,0.008009708737864078,0.0048543689320388345,70.452,40.788000000000004,0.8810679611650484,0.11504854368932038,65.096,78.69200000000001,13.596000000000002,0.0,0.0,0.0,81.164,535.6,154.5,77.6,Target Forward,41.2
2022-2023,Martin Ødegaard,MF,Arsenal,eng Premier League,no NOR,23,37,37,"3,127",34.7,0.007251264755480607,0.0033726812816188873,0.010623946037099494,0.007251264755480607,0.010623946037099494,0.0,0.0,7.116,0.0,0.0,0.004890387858347386,0.004890387858347386,0.0038785834738617204,0.0038785834738617204,-0.03,0.008768971332209106,0.09376053962900506,0.04519392917369309,0.015008431703204048,33.3,0.0026981450252951096,0.00809443507588533,19.2,0.004384485666104553,0.11,0.15,0.8768971332209107,0.8178752107925802,0.05345699831365936,0.03844856661045531,0.011129848229342328,77.09,0.32,0.7048903878583473,80.3,10.954468802698146,2.922428330522766,0.36930860033726814,0.42495784148397975,86.9,0.2512647554806071,0.30016863406408095,84.0,0.05345699831365936,0.08499156829679595,62.9,0.036930860033726816,0.06559865092748736,0.044182124789207425,0.0020236087689713324,0.1293423271500843,0.004384485666104553,0.044182124789207425,0.008768971332209106,0.004384485666104553,0.002866779089376054,0.0005059021922428331,0.07925801011804386,0.059696458684654306,0.007251264755480607,0.0020236087689713324,0.005902192242833052,0.002866779089376054,0.0015177065767284991,0.008263069139966273,0.007251264755480607,0.0,0.0,0.0010118043844856662,0.0,0.0,61.672,39.138,20.755,23.72,17.197,80.055,29.8,34.394,8.302,0.43,10.081,20.755,1.779,1.0202360876897134,0.09662731871838112,0.41989881956155145,0.5143338954468802,0.059359190556492414,0.040303541315345706,57.8,34.9,0.6239460370994941,3.3676222596964585,0.040303541315345706,1.4688026981450253,0.029173693086003375,0.012647554806070826,71.753,77.09,0.7537942664418213,0.09376053962900506,50.998,44.474999999999994,1.779,0.0,0.0,0.0,304.209,21.941,34.394,39.4,Advanced Playmaker,59.3
2022-2023,Szymon Żurkowski,MF,Spezia,it Serie A,pl POL,24,10,3,427,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.953999999999999,0.0,0.0,0.0027426160337552744,0.0027426160337552744,0.0,0.0004219409282700422,0.0,0.0027426160337552744,0.04493670886075949,0.03143459915611815,0.004430379746835443,14.3,0.0,0.0,23.5,0.0,0.08,-0.13,0.45358649789029537,0.4440928270042194,0.0,0.0,0.0,60.672,0.0,0.3143459915611814,69.3,4.417721518987342,1.2257383966244726,0.16603375527426162,0.2151898734177215,77.1,0.11223628691983123,0.13459915611814346,83.3,0.009071729957805908,0.035864978902953586,25.0,0.0,0.04029535864978903,0.004430379746835443,0.0,0.04493670886075949,0.0,0.017932489451476793,0.0,0.0,0.0,0.0,0.017932489451476793,0.004430379746835443,0.0,0.004430379746835443,0.0,0.009071729957805908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.53399999999999,30.336,40.29,40.29,9.953999999999999,151.206,13.3,90.53399999999999,20.381999999999998,1.49,40.29,60.672,0.0,0.759493670886076,0.2018987341772152,0.35864978902953587,0.20654008438818564,0.017932489451476793,0.049367088607594936,72.7,18.2,0.38185654008438824,2.670886075949367,0.04029535864978903,1.2025316455696202,0.017932489451476793,0.009071729957805908,141.25199999999998,30.336,0.39029535864978904,0.04493670886075949,151.206,110.916,0.0,0.0,0.0,0.0,262.122,60.672,100.96199999999999,37.5,Mezzala,47.4
2022-2023,Szymon Żurkowski,MF,Fiorentina,it Serie A,pl POL,24,2,0,32,0.4,0.0,0.044563279857397504,0.044563279857397504,0.0,0.05008912655971479,0.0,0.0,0.0,0.0,0.0,0.004456327985739751,0.004456327985739751,0.0,0.0,2.5,0.004456327985739751,0.17825311942959002,0.08912655971479501,0.044563279857397504,50.0,0.0,0.0,15.2,0.0,0.06,-0.25,0.8467023172905526,0.8467023172905526,0.0,0.0,0.0,140.25,0.0,0.7575757575757576,89.5,13.279857397504456,0.9358288770053476,0.26737967914438504,0.31194295900178254,85.7,0.31194295900178254,0.31194295900178254,100.0,0.08912655971479501,0.08912655971479501,100.0,0.044563279857397504,0.044563279857397504,0.044563279857397504,0.0,0.044563279857397504,0.0,0.044563279857397504,0.0,0.0,0.0,0.0,0.08912655971479501,0.08912655971479501,0.0,0.0,0.0,0.0,0.0,0.044563279857397504,0.044563279857397504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1140819964349375,0.044563279857397504,0.35650623885918004,0.7130124777183601,0.13368983957219252,0.044563279857397504,0.0,100.0,0.7130124777183601,5.124777183600713,0.13368983957219252,2.6737967914438503,0.044563279857397504,0.044563279857397504,140.25,140.25,0.8021390374331551,0.17825311942959002,140.25,0.0,0.0,0.0,0.0,0.0,280.5,140.25,140.25,50.0,Mezzala,56.1
2022-2023,Martín Zubimendi,MF,Real Sociedad,es La Liga,es ESP,23,36,35,"3,101",34.5,0.0005494505494505495,0.0016483516483516484,0.002197802197802198,0.0005494505494505495,0.002197802197802198,0.0,0.0,19.11,0.0,0.0,0.001098901098901099,0.001098901098901099,0.001098901098901099,0.001098901098901099,0.03,0.0020146520146520144,0.015384615384615384,0.006959706959706959,0.001098901098901099,15.4,0.0014652014652014652,0.009157509157509158,19.7,0.0,0.15,-0.03,0.9615384615384616,0.9285714285714286,0.030769230769230767,0.028754578754578757,0.0031135531135531138,36.582,0.17,0.8205128205128205,85.3,14.217948717948717,4.2967032967032965,0.36813186813186816,0.4157509157509157,88.3,0.3717948717948718,0.4084249084249084,91.2,0.0663003663003663,0.09981684981684982,66.5,0.010622710622710621,0.09285714285714286,0.01227106227106227,0.0005494505494505495,0.09761904761904762,0.005311355311355311,0.002197802197802198,0.0,0.0,0.0,0.0,0.027655677655677655,0.02490842490842491,0.0,0.0,0.0005494505494505495,0.0016483516483516484,0.0005494505494505495,0.0031135531135531138,0.0031135531135531138,0.0,0.0,0.0,0.0,0.0,93.366,52.416,36.582,47.502,9.282,70.98,53.3,69.888,26.754,0.78,58.422000000000004,86.81400000000001,6.552,1.10989010989011,0.27106227106227104,0.7161172161172161,0.13754578754578753,0.009523809523809525,0.01282051282051282,37.5,41.7,0.6721611721611722,3.661172161172161,0.022893772893772892,1.9523809523809523,0.020695970695970692,0.0016483516483516484,36.582,26.754,0.7655677655677655,0.015384615384615384,79.17,49.14,1.638,0.0,1.638,0.0,345.072,91.728,54.054,63.0,Central Midfielder,54.6
2022-2023,Igor Zubeldia,DF,Real Sociedad,es La Liga,es ESP,25,31,29,"2,542",28.2,0.0007326007326007326,0.0007326007326007326,0.001282051282051282,0.0007326007326007326,0.001282051282051282,0.0,0.0,21.294,0.0,0.0,0.0005494505494505495,0.0005494505494505495,0.00018315018315018315,0.0003663003663003663,0.02,0.0009157509157509158,0.002564102564102564,0.003846153846153846,0.0007326007326007326,16.7,0.0031135531135531138,0.018315018315018316,14.5,0.0,0.14,0.0,1.010989010989011,0.9670329670329669,0.040293040293040296,0.02857142857142857,0.0007326007326007326,23.478,0.18,0.8626373626373627,85.4,17.23076923076923,6.302197802197802,0.2747252747252747,0.3076923076923077,89.0,0.489010989010989,0.5347985347985348,91.4,0.0967032967032967,0.15,64.5,0.0020146520146520144,0.05128205128205128,0.005128205128205128,0.0007326007326007326,0.08315018315018315,0.007875457875457875,0.0020146520146520144,0.0,0.0,0.0,0.0,0.007142857142857143,0.005860805860805861,0.0007326007326007326,0.0,0.0,0.0,0.0007326007326007326,0.001282051282051282,0.001282051282051282,0.0,0.0,0.0,0.0,0.0,67.70400000000001,34.944,54.054,13.65,0.0,67.70400000000001,71.4,44.772,32.76,0.21,40.404,180.18,0.0,1.15018315018315,0.532967032967033,0.5915750915750915,0.031135531135531132,0.00641025641025641,0.005128205128205128,100.0,0.0,0.7014652014652014,4.010989010989011,0.009157509157509158,2.470695970695971,0.0020146520146520144,0.0007326007326007326,11.466,2.184,0.7454212454212454,0.002564102564102564,85.176,19.11,2.184,0.0,0.0,2.184,319.40999999999997,116.298,102.648,53.1,Ball Winning Midfielder,54.6
2022-2023,Petar Zovko,GK,Spezia,it Serie A,ba BIH,20,1,0,74,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949367088607595,0.54915611814346,0.3966244725738397,0.052742616033755275,0.0,0.0,0.0,0.580168776371308,61.1,18.0126582278481,12.078059071729959,0.10548523206751055,0.10548523206751055,100.0,0.23839662447257387,0.23839662447257387,100.0,0.23839662447257387,0.6075949367088608,39.1,0.0,0.026371308016877638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25,0.0,59.25,0.0,0.0,59.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0021097046413503,0.949367088607595,0.052742616033755275,0.0,0.0,0.0,0.0,0.0,0.4746835443037975,2.0316455696202533,0.0,1.160337552742616,0.0,0.0,0.0,0.0,0.3438818565400844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.5,0.0,0.0,0.0,Sweeper Keeper,47.4
2022-2023,Kurt Zouma,DF,West Ham,eng Premier League,fr FRA,27,25,24,"1,989",22.1,0.0021377672209026127,0.0,0.0021377672209026127,0.0021377672209026127,0.0021377672209026127,0.0,0.0,0.0,0.0,0.0,0.0023752969121140144,0.0023752969121140144,0.0,0.0,-0.0,0.0023752969121140144,0.0011876484560570072,0.02042755344418052,0.005463182897862233,26.3,0.0026128266033254156,0.009501187648456057,10.1,0.0,0.12,-0.01,0.8931116389548693,0.8598574821852732,0.03016627078384798,0.014964370546318289,0.0,5.894000000000001,0.09,0.7529691211401425,84.4,14.489311163895486,4.7695961995249405,0.2660332541567696,0.2921615201900238,91.1,0.3895486935866983,0.4370546318289786,89.2,0.0847980997624703,0.13871733966745842,61.2,0.0011876484560570072,0.02042755344418052,0.0021377672209026127,0.0,0.0332541567695962,0.014964370546318289,0.0,0.0,0.0,0.0,0.0,0.009738717339667458,0.007600950118764846,0.0011876484560570072,0.0,0.0011876484560570072,0.0,0.0,0.0021377672209026127,0.0011876484560570072,0.0,0.0,0.0011876484560570072,0.0,0.0,17.261,7.578,7.578,9.683000000000002,0.0,15.156,62.5,32.417,26.523,0.14,57.25600000000001,228.603,2.105,1.1282660332541568,0.7030878859857482,0.3895486935866983,0.03752969121140143,0.03111638954869359,0.005463182897862233,40.0,60.0,0.5629453681710214,2.311163895486936,0.0033254156769596203,1.0950118764845607,0.0011876484560570072,0.0,9.683000000000002,3.789,0.667458432304038,0.0011876484560570072,26.523,13.472000000000001,0.0,0.0,0.0,0.0,159.98,104.82900000000001,24.839,80.9,Central Defender,42.1
2022-2023,Tanguy Zoukrou,DF,Troyes,fr Ligue 1,fr FRA,19,8,5,511,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046948356807511736,0.00046948356807511736,-0.02,0.00046948356807511736,0.01244131455399061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107981220657276,0.880281690140845,0.028873239436619718,0.016431924882629106,0.0,29.82,0.0,0.7863849765258216,86.4,13.145539906103286,4.826291079812206,0.32629107981220656,0.3615023474178404,89.8,0.3755868544600939,0.4037558685446009,92.9,0.045305164319248824,0.09061032863849765,50.0,0.004225352112676056,0.028873239436619718,0.0,0.0,0.045305164319248824,0.004225352112676056,0.004225352112676056,0.0,0.0,0.0,0.0,0.01244131455399061,0.01244131455399061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.796,52.398,59.64,44.730000000000004,0.0,104.796,71.4,134.616,82.218,1.23,14.91,179.346,0.0,1.199530516431925,0.7652582159624414,0.3772300469483568,0.04953051643192488,0.004225352112676056,0.01244131455399061,66.7,33.3,0.7981220657276995,3.154929577464789,0.0,1.4530516431924883,0.008215962441314553,0.0,7.668,14.91,0.687793427230047,0.01244131455399061,37.488,7.668,0.0,0.0,7.668,0.0,238.98600000000002,52.398,52.398,50.0,Central Defender,42.6
