Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance, Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role
2022-2023,Filip Đuričić,"MF,FW",Sampdoria,it Serie A,rs SRB,30,32,27,"2,171",24.1,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.37,0.0,0.0,0.11,0.11,0.08,0.07,-0.08,0.19,3.44,1.08,0.5,46.2,0.12,0.25,18.3,0.04,0.1,0.01,31.05,29.02,2.2,0.71,0.12,1.49,0.08,24.3,77.3,398.3,90.0,12.5,14.4,87.0,8.76,10.5,83.1,2.16,3.57,60.5,1.41,2.07,0.75,0.17,3.2,0.12,1.7,0.91,0.21,0.54,0.0,2.86,1.87,0.37,0.17,0.12,0.25,0.08,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.78,0.91,0.75,0.83,0.21,1.33,43.8,0.79,0.25,0.54,0.29,0.33,0.0,41.2,6.02,20.2,15.8,1.41,2.9,44.3,42.9,24.5,138.7,1.62,66.3,1.74,0.12,2.45,1.95,28.6,3.44,1.58,1.99,0.0,0.0,0.0,0.0,4.56,0.58,1.2,32.6,Inverted Winger
2022-2023,Milan Đurić,FW,Hellas Verona,it Serie A,ba BIH,32,28,14,"1,366",15.2,0.07,0.07,0.13,0.07,0.13,0.0,0.0,0.2,0.0,0.0,0.09,0.09,0.09,0.06,-0.02,0.18,4.74,1.05,0.33,31.3,0.06,0.2,10.7,0.0,0.09,-0.03,34.4,33.8,0.46,0.0,0.13,0.2,0.13,17.6,51.2,205.2,48.7,12.2,22.1,55.4,3.55,7.83,45.4,0.33,0.86,38.5,1.38,1.78,0.33,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,2.37,2.04,0.0,0.0,0.2,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.07,0.0,0.07,0.2,33.3,0.46,0.26,0.2,0.07,1.58,0.0,42.4,4.08,20.7,17.8,3.95,0.39,33.3,50.0,17.2,57.2,0.13,13.9,0.33,0.2,1.71,0.99,36.3,4.74,1.58,1.91,0.33,0.0,0.0,0.0,1.97,13.0,3.75,77.6,Target Forward
2022-2023,Martin Ødegaard,MF,Arsenal,eng Premier League,no NOR,23,37,37,"3,127",34.7,0.43,0.2,0.63,0.43,0.63,0.0,0.0,0.12,0.0,0.0,0.29,0.29,0.23,0.23,-0.03,0.52,5.56,2.68,0.89,33.3,0.16,0.48,19.2,0.26,0.11,0.15,52.0,48.5,3.17,2.28,0.66,1.3,0.32,41.8,80.3,649.6,173.3,21.9,25.2,86.9,14.9,17.8,84.0,3.17,5.04,62.9,2.19,3.89,2.62,0.12,7.67,0.26,2.62,0.52,0.26,0.17,0.03,4.7,3.54,0.43,0.12,0.35,0.17,0.09,0.49,0.43,0.0,0.0,0.06,0.0,0.0,1.04,0.66,0.35,0.4,0.29,1.35,29.8,0.58,0.14,0.43,0.17,0.35,0.03,60.5,5.73,24.9,30.5,3.52,2.39,57.8,34.9,37.0,199.7,2.39,87.1,1.73,0.75,1.21,1.3,44.7,5.56,0.86,0.75,0.03,0.0,0.0,0.0,5.13,0.37,0.58,39.4,Advanced Playmaker
2022-2023,Szymon Żurkowski,MF,Spezia,it Serie A,pl POL,24,10,3,427,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.13,0.13,0.0,0.02,0.0,0.13,2.13,1.49,0.21,14.3,0.0,0.0,23.5,0.0,0.08,-0.13,21.5,21.05,0.0,0.0,0.0,1.28,0.0,14.9,69.3,209.4,58.1,7.87,10.2,77.1,5.32,6.38,83.3,0.43,1.7,25.0,0.0,1.91,0.21,0.0,2.13,0.0,0.85,0.0,0.0,0.0,0.0,0.85,0.21,0.0,0.21,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.64,0.85,0.85,0.21,3.19,13.3,1.91,0.43,1.49,0.85,1.28,0.0,36.0,9.57,17.0,9.79,0.85,2.34,72.7,18.2,18.1,126.6,1.91,57.0,0.85,0.43,2.98,0.64,18.5,2.13,3.19,2.34,0.0,0.0,0.0,0.0,5.53,1.28,2.13,37.5,Mezzala
2022-2023,Szymon Żurkowski,MF,Fiorentina,it Serie A,pl POL,24,2,0,32,0.4,0.0,2.5,2.5,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.25,10.0,5.0,2.5,50.0,0.0,0.0,15.2,0.0,0.06,-0.25,47.5,47.5,0.0,0.0,0.0,2.5,0.0,42.5,89.5,745.0,52.5,15.0,17.5,85.7,17.5,17.5,100.0,5.0,5.0,100.0,2.5,2.5,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,2.5,20.0,40.0,7.5,2.5,0.0,100.0,40.0,287.5,7.5,150.0,2.5,2.5,2.5,2.5,45.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,2.5,2.5,50.0,Mezzala
2022-2023,Martín Zubimendi,MF,Real Sociedad,es La Liga,es ESP,23,36,35,"3,101",34.5,0.03,0.09,0.12,0.03,0.12,0.0,0.0,0.35,0.0,0.0,0.06,0.06,0.06,0.06,0.03,0.11,0.84,0.38,0.06,15.4,0.08,0.5,19.7,0.0,0.15,-0.03,52.5,50.7,1.68,1.57,0.17,0.67,0.17,44.8,85.3,776.3,234.6,20.1,22.7,88.3,20.3,22.3,91.2,3.62,5.45,66.5,0.58,5.07,0.67,0.03,5.33,0.29,0.12,0.0,0.0,0.0,0.0,1.51,1.36,0.0,0.0,0.03,0.09,0.03,0.17,0.17,0.0,0.0,0.0,0.0,0.0,1.71,0.96,0.67,0.87,0.17,1.3,53.3,1.28,0.49,0.78,1.07,1.59,0.12,60.6,14.8,39.1,7.51,0.52,0.7,37.5,41.7,36.7,199.9,1.25,106.6,1.13,0.09,0.67,0.49,41.8,0.84,1.45,0.9,0.03,0.0,0.03,0.0,6.32,1.68,0.99,63.0,Central Midfielder
2022-2023,Igor Zubeldia,DF,Real Sociedad,es La Liga,es ESP,25,31,29,"2,542",28.2,0.04,0.04,0.07,0.04,0.07,0.0,0.0,0.39,0.0,0.0,0.03,0.03,0.01,0.02,0.02,0.05,0.14,0.21,0.04,16.7,0.17,1.0,14.5,0.0,0.14,0.00,55.2,52.8,2.2,1.56,0.04,0.43,0.18,47.1,85.4,940.8,344.1,15.0,16.8,89.0,26.7,29.2,91.4,5.28,8.19,64.5,0.11,2.8,0.28,0.04,4.54,0.43,0.11,0.0,0.0,0.0,0.0,0.39,0.32,0.04,0.0,0.0,0.0,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.24,0.64,0.99,0.25,0.0,1.24,71.4,0.82,0.6,0.21,0.74,3.3,0.0,62.8,29.1,32.3,1.7,0.35,0.28,100.0,0.0,38.3,219.0,0.5,134.9,0.11,0.04,0.21,0.04,40.7,0.14,1.56,0.35,0.04,0.0,0.0,0.04,5.85,2.13,1.88,53.1,Ball Winning Midfielder
2022-2023,Petar Zovko,GK,Spezia,it Serie A,ba BIH,20,1,0,74,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,45.0,26.03,18.8,2.5,0.0,0.0,0.0,27.5,61.1,853.8,572.5,5.0,5.0,100.0,11.3,11.3,100.0,11.3,28.8,39.1,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,0.0,1.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,45.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,96.3,0.0,55.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,Sweeper Keeper
2022-2023,Kurt Zouma,DF,West Ham,eng Premier League,fr FRA,27,25,24,"1,989",22.1,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,-0.0,0.1,0.05,0.86,0.23,26.3,0.11,0.4,10.1,0.0,0.12,-0.01,37.6,36.2,1.27,0.63,0.0,0.14,0.09,31.7,84.4,610.0,200.8,11.2,12.3,91.1,16.4,18.4,89.2,3.57,5.84,61.2,0.05,0.86,0.09,0.0,1.4,0.63,0.0,0.0,0.0,0.0,0.0,0.41,0.32,0.05,0.0,0.05,0.0,0.0,0.09,0.05,0.0,0.0,0.05,0.0,0.0,0.41,0.18,0.18,0.23,0.0,0.36,62.5,0.77,0.63,0.14,1.36,5.43,0.05,47.5,29.6,16.4,1.58,1.31,0.23,40.0,60.0,23.7,97.3,0.14,46.1,0.05,0.0,0.23,0.09,28.1,0.05,0.63,0.32,0.0,0.0,0.0,0.0,3.8,2.49,0.59,80.9,Central Defender
2022-2023,Tanguy Zoukrou,DF,Troyes,fr Ligue 1,fr FRA,19,8,5,511,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,-0.02,0.02,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,38.8,37.5,1.23,0.7,0.0,0.7,0.0,33.5,86.4,560.0,205.6,13.9,15.4,89.8,16.0,17.2,92.9,1.93,3.86,50.0,0.18,1.23,0.0,0.0,1.93,0.18,0.18,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,1.23,1.4,1.05,0.0,2.46,71.4,3.16,1.93,1.23,0.35,4.21,0.0,51.1,32.6,16.07,2.11,0.18,0.53,66.7,33.3,34.0,134.4,0.0,61.9,0.35,0.0,0.18,0.35,29.3,0.53,0.88,0.18,0.0,0.0,0.18,0.0,5.61,1.23,1.23,50.0,Central Defender
